"filename", "language", "Markdown", "Shell Script", "YAML", "Ignore", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Docker", "HTML", "Properties", "Prisma", "GraphQL", "SQL", "comment", "blank", "total"
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions\guards\permissions.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions\guards\permissions.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 8, 64
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions\permission.schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions\permissions.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions\permissions.resolver.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions\permissions.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions\permissions.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions\permissions.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\base.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 3, 18
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20221210033616_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 4, 18
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20221210041831_n_to_n_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 17, 14, 57
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20221210044214_oauth_link_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 3, 12
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20221212172413_nullable_avatar\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20221213172444_videos\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 8, 37
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20221213173650_video_with_user\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 2, 12
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20221214180457_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20221214181415_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 2, 12
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20221217041418_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20221217041856_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 1, 10
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230101104819_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 2, 13
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230104181758_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 1, 10
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230109081612_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230109082109_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230109082425_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 1, 10
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230110160453_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 4, 17
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230110161936_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 2, 12
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230111035716_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230112031637_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 12
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230112090524_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 7, 27
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230112171940_vote\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 6, 26
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230112194644_user_subscriptions\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 4, 15
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230116022246_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 6
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230118015345_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\migrations\20230118030513_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 4, 17
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\prisma.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 8, 62, 205
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\seed\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\seed\permissions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 4, 45
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\seed\roles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"d:\ELIV\PROJECTS\eliv-api\api\src\prisma\seed\users.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"d:\ELIV\PROJECTS\eliv-api\api\src\pub-sub\pub-sub.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\ELIV\PROJECTS\eliv-api\api\src\roles\role.schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\ELIV\PROJECTS\eliv-api\api\src\roles\roles.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\ELIV\PROJECTS\eliv-api\api\src\roles\roles.resolver.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\ELIV\PROJECTS\eliv-api\api\src\roles\roles.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"d:\ELIV\PROJECTS\eliv-api\api\src\roles\roles.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\ELIV\PROJECTS\eliv-api\api\src\roles\roles.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\ELIV\PROJECTS\eliv-api\api\src\schema.gql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2690, 0, 12, 388, 3090
"d:\ELIV\PROJECTS\eliv-api\api\src\upload\interfaces\upload-file-options.input.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\ELIV\PROJECTS\eliv-api\api\src\upload\interfaces\uploaded-file.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\ELIV\PROJECTS\eliv-api\api\src\upload\upload.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\ELIV\PROJECTS\eliv-api\api\src\upload\upload.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\ELIV\PROJECTS\eliv-api\api\src\user-subscriptions\dto\user-subscription-response.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
